أفغانستان	Afghanistan
ألبانيا	Albania
الجزائر	Algeria
أندورا	Andorra
أنغولا	Angola
أنتيغوا وبربودا	Antigua and Barbuda
الأرجنتين	Argentina
أرمينيا	Armenia
أستراليا	Australia
النمسا	Austria
أذربيجان	Azerbaijan
جزر البهاما	Bahamas
البحرين	Bahrain
بنغلاديش	Bangladesh
بربادوس	Barbados
بيلاروس	Belarus
بلجيكا	Belgium
بليز	Belize
بنن	Benin
بوتان	Bhutan
بوليفيا (دولة - المتعددة القوميات)	Bolivia (Plurinational State of)
بوليفيا (دولة - المتعددة القوميات)	Bolivia
بوليفيا (دولة - المتعددة القوميات)	Plurinational State of Bolivia
البوسنة والهرسك	Bosnia and Herzegovina
بوتسوانا	Botswana
البرازيل	Brazil
بروني دار السلام	Brunei Darussalam
بلغاريا	Bulgaria
بوركينا فاسو	Burkina Faso
بوروندي	Burundi
كمبوديا	Cambodia
الكاميرون	Cameroon
كندا	Canada
كابو فيردي	Cape Verde
جمهورية أفريقيا الوسطى	Central African Republic
تشاد	Chad
شيلي	Chile
الصين	China
جزر كوك	Cook Islands
كولومبيا	Colombia
جزر القمر	Comoros
الكونغو	Congo
كوستاريكا	Costa Rica
كوت ديفوار	Côte d’Ivoire
كرواتيا	Croatia
كوبا	Cuba
قبرص	Cyprus
الجمهورية التشيكية	Czech Republic
تشيكيا	Czechia
جمهورية كوريا الشعبية الديمقراطية	Democratic People’s Republic of Korea
جمهورية كوريا الشعبية الديمقراطية	Democratic People\'s Republic of Korea
جمهورية الكونغو الديمقراطية	Democratic Republic of the Congo
الدانمرك	Denmark
جيبوتي	Djibouti
دومينيكا	Dominica
الجمهورية الدومينيكية	Dominican Republic
إكوادور	Ecuador
مصر	Egypt
السلفادور	El Salvador
غينيا الاستوائية	Equatorial Guinea
إريتريا	Eritrea
إستونيا	Estonia
إثيوبيا	Federal Democratic Republic of Ethiopia
إثيوبيا	Ethiopia
فيجي	Fiji
فنلندا	Finland
فرنسا	France
غابون	Gabon
غامبيا	Gambia
جورجيا	Georgia
ألمانيا	Germany
غانا	Ghana
اليونان	Greece
غرينادا	Grenada
غواتيمالا	Guatemala
غينيا	Guinea
غينيا - بيساو	Guinea-Bissau
غيانا	Guyana
هايتي	Haiti
الكرسي الرسولي	Holy See
هندوراس	Honduras
هنغاريا	Hungary
آيسلندا	Iceland
الهند	India
إندونيسيا	Indonesia
إيران (جمهورية - الإسلامية)	Iran (Islamic Republic of)
إيران (جمهورية - الإسلامية)	Iran
إيران (جمهورية - الإسلامية)	Islamic Republic of Iran
العراق	Iraq
أيرلندا	Ireland
إسرائيل	Israel
إيطاليا	Italy
جامايكا	Jamaica
اليابان	Japan
الأردن	Jordan
كازاخستان	Kazakhstan
كينيا	Kenya
كيريباس	Kiribati
الكويت	Kuwait
قيرغيزستان	Kyrgyzstan
جمهورية لاو الديمقراطية الشعبية	Lao People’s Democratic Republic
